id,source_stage,operator,shape_args,pytorchsim_cycles,sim_status,k,cout,cin_idx_total,spatial_points,total_cycles,latency_us_330mhz,confidence_grade,confidence_note,interval_count,mac_total_cycles,speedup_vs_pytorchsim_cycles,model_scope,activation_bytes,weight_bytes,output_bytes,config_cycles,activation_dma_cycles,weight_dma_cycles,output_dma_cycles,system_total_cycles,system_latency_us_330mhz,system_model_status,system_model_note,system_speedup_vs_pytorchsim_cycles
gemm_032_op_00056,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_033_op_00057,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_034_op_00058,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_035_op_00059,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_036_op_00060,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_037_op_00061,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_038_op_00062,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,,ok,1,16,2,64,7242,21.945455,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,7242,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,32768,524288,3,10538,5272,84266,107321,325.215152,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_039_op_00063,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,,ok,1,2,8,64,27328,82.812121,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,512,27328,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,262144,16384,65536,3,42136,2638,10538,82643,250.433333,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_026_op_00064,up_blocks.1.attentions.0.proj_out,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_027_op_00065,up_blocks.1.resnets.1.conv1,conv,1 32 32 128 64 3 1 1,,ok,3,2,36,64,758208,2297.6,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,2304,758208,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,1179648,73728,65536,3,189592,11854,10538,970195,2939.984848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_040_op_00066,up_blocks.1.resnets.1.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_028_op_00067,up_blocks.1.resnets.1.conv2,conv,1 32 32 64 64 3 1 1,,ok,3,2,18,64,379200,1149.090909,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,379200,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,36864,65536,3,94798,5930,10538,490469,1486.269697,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_029_op_00068,up_blocks.1.resnets.1.conv_shortcut,conv,1 32 32 128 64 1 1 0,,ok,1,2,4,64,13760,41.69697,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,256,13760,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,131072,8192,65536,3,21070,1322,10538,46693,141.493939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_030_op_00069,up_blocks.1.attentions.1.proj_in,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_031_op_00080,up_blocks.1.attentions.1.proj_out,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_032_op_00081,conv_out,conv,1 32 32 64 4 3 1 1,,ok,3,1,18,64,209856,635.927273,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,209856,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,2304,4096,3,94798,376,664,305697,926.354545,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
